id,bim360_account_id,name,start_date,end_date,type,value,currency,status,job_number,address_line1,address_line2,city,state_or_province,postal_code,country,timezone,construction_type,contract_type,business_unit_id,last_sign_in,created_at
4fb9e8e5-f9a7-4a04-b33c-38f2227bf75d,49df69ab-c266-4d49-951c-031b16f7a31f,Amanda,Tue May 01 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),Hospitals & Health Treatment Buildings,750000,USD,archived,,3015 North Ballas Road,,St Louis,MO,63131,US,America/Chicago,,,,,Thu Aug 27 2015 03:02:51 GMT+0000 (Coordinated Universal Time)
e5ed857f-23f1-4a8c-a808-9cbfa0fe0648,49df69ab-c266-4d49-951c-031b16f7a31f,10100726-UCMC-GARAGE,Tue Aug 23 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Aug 24 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Office,0,USD,archived,,,,,,,US,,,,,,Wed Aug 24 2016 01:51:54 GMT+0000 (Coordinated Universal Time)
9d602269-4385-4d46-9d87-ee1374608e23,49df69ab-c266-4d49-951c-031b16f7a31f,10100726-UCMC,Tue Aug 23 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Aug 24 2021 00:00:00 GMT+0000 (Coordinated Universal Time),Office,0,USD,archived,,,,,,,US,,,,,,Wed Aug 24 2016 01:51:52 GMT+0000 (Coordinated Universal Time)
003d373a-2b90-45f8-8a0e-862868dfdc0b,49df69ab-c266-4d49-951c-031b16f7a31f,BIM Test Ground,Fri Jan 01 1915 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),default,0,USD,archived,,,,,,63114,US,America/Chicago,,,,,Thu Aug 27 2015 03:03:02 GMT+0000 (Coordinated Universal Time)
9fcfaa9b-b11e-47d9-acbb-a8a8ddf1f7ac,49df69ab-c266-4d49-951c-031b16f7a31f,"Thompson Coburn (ORD), Phase 3",Sun Aug 28 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),Office & Bank Buildings,0,USD,archived,,"55 East Monroe, 37th Floor Chicago, IL 60603",,Chicago,IL,60603,US,America/Chicago,,,,,Thu Aug 27 2015 03:03:27 GMT+0000 (Coordinated Universal Time)
11a8912c-6060-4652-9a64-4248deb94e25,49df69ab-c266-4d49-951c-031b16f7a31f,Maryland Drexel Demolition,Wed Dec 26 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),default,108000,USD,archived,,846 E. 57th Street,,Chicago,IL,60637,US,America/Chicago,,,,,Thu Aug 27 2015 03:03:09 GMT+0000 (Coordinated Universal Time)
fcfb33f6-fda8-48b8-a7c1-0eabdd17f69a,49df69ab-c266-4d49-951c-031b16f7a31f,BJC MBMC CNI Demo,Tue May 01 2012 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),Hospitals & Health Treatment Buildings,125000,USD,archived,,3015 North Ballas Road,,St Louis,MO,63131,US,America/Chicago,,,,,Thu Aug 27 2015 03:02:42 GMT+0000 (Coordinated Universal Time)
1d4536f9-819e-4b01-a9ea-bc8e5f9a7f80,49df69ab-c266-4d49-951c-031b16f7a31f,Park 88 - Lot 13 Building Pad Development,Tue Aug 18 2015 00:00:00 GMT+0000 (Coordinated Universal Time),Thu Jun 30 2016 00:00:00 GMT+0000 (Coordinated Universal Time),Manufacturing / Factory,1008670,USD,inactive,10102503,Macon Drive,,DeKalb,IL,60115,US,America/Chicago,New Construction,,39f43f7d-1eee-11e3-89a6-02cc3afa57bd,,Mon Dec 14 2015 23:46:04 GMT+0000 (Coordinated Universal Time)
e5c196de-27ac-43f1-ad9a-e7267316ed9f,49df69ab-c266-4d49-951c-031b16f7a31f,Memorial Stadium,Mon Jan 01 2018 00:00:00 GMT+0000 (Coordinated Universal Time),Sun Dec 01 2019 00:00:00 GMT+0000 (Coordinated Universal Time),Stadium/Arena,78000000,USD,active,10102939,1402 S First St,,Champaign,IL,61820,US,America/Chicago,New Construction,Design-Bid-Build,1f3be48b-1eef-11e3-89a6-02cc3afa57bd,,Thu Aug 03 2017 16:33:54 GMT+0000 (Coordinated Universal Time)
0c47182c-c2f9-440b-a529-bbd94e897e15,49df69ab-c266-4d49-951c-031b16f7a31f,Halliburton Mont 55,Thu Oct 20 2011 00:00:00 GMT+0000 (Coordinated Universal Time),Tue Jan 01 2115 00:00:00 GMT+0000 (Coordinated Universal Time),Other Commercial Buildings,9881175,USD,archived,,,,,,,US,America/Chicago,,,,,Thu Aug 27 2015 03:03:16 GMT+0000 (Coordinated Universal Time)
