id,bim360_account_id,name,trade,category,address_line1,address_line2,city,state_or_province,postal_code,country,phone,website_url,description,erp_id,tax_id,status,created_at,project_size,user_size,custom_properties
210b3a61-4067-46f4-bcec-b7a2f32cf4a0,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-09-04 18:25:34 UTC ad811597-a356-40a3-8e27-e3d141034953,,,,,,,,US,,,,,,deleted,Thu Jul 11 2019 20:47:39 GMT+0000 (Coordinated Universal Time),,,
9178147b-ae2c-4a4f-814e-c5fe6b64f9d1,49df69ab-c266-4d49-951c-031b16f7a31f,Washington University,,Owner,,,,,,US,,,,,,,Thu Aug 27 2015 02:31:08 GMT+0000 (Coordinated Universal Time),4,1,
02a23d7c-69f1-47a6-9a59-cf968b5cca32,49df69ab-c266-4d49-951c-031b16f7a31f,Ultra,,,,,,,,US,,,,,,,Mon Jun 24 2019 13:54:17 GMT+0000 (Coordinated Universal Time),,,
5c9d26ee-da63-4394-b0db-ab785ce4bef2,49df69ab-c266-4d49-951c-031b16f7a31f,BECK Technology,Communications,sub contractor,,,,,,US,,,,,,,Mon Jan 29 2018 14:20:06 GMT+0000 (Coordinated Universal Time),1,2,
a21d9314-6529-4674-abdb-4bbde6889877,49df69ab-c266-4d49-951c-031b16f7a31f,Inventory Sales,Other,Subcontractor,9777 Reavis Road,,St. Louis,MO,63123,US,314-776-6200,,Inventory Sales,,,,Thu Aug 27 2015 02:38:58 GMT+0000 (Coordinated Universal Time),5,0,
f8d8a5e0-ba3e-44a8-8698-a6402deaddc1,49df69ab-c266-4d49-951c-031b16f7a31f,Leonard Masonry,Other,Subcontractor,,,,,,US,,,,,,,Thu Aug 27 2015 02:32:18 GMT+0000 (Coordinated Universal Time),10,0,
8e275c84-b4c1-4afa-8000-fc642ac56e66,49df69ab-c266-4d49-951c-031b16f7a31f,Allied Industrial Equipment,,,,,,,,US,,,,,,,Fri Feb 19 2016 22:14:34 GMT+0000 (Coordinated Universal Time),2,0,
0f7c8d02-cf0c-4c67-9a00-b5eb689afd91,49df69ab-c266-4d49-951c-031b16f7a31f,XPO Logistics,,,,,,,,US,,,,,,,Wed Sep 02 2015 19:25:05 GMT+0000 (Coordinated Universal Time),1,0,
26adb6e7-59b5-4d9d-aed1-17fbe702c98b,49df69ab-c266-4d49-951c-031b16f7a31f,Marks & Associates,Other,Subcontractor,,,,,,US,,,,,,,Thu Aug 27 2015 02:35:15 GMT+0000 (Coordinated Universal Time),2,0,
cd7e868b-ef05-434e-8860-6a4c51387a0a,49df69ab-c266-4d49-951c-031b16f7a31f,TSI-Global,Other,Subcontractor,700 Fountain Lakes Blvd.,,St. Charles,MO,63301,US,6369498889,,,,,,Thu Aug 27 2015 02:32:11 GMT+0000 (Coordinated Universal Time),1,0,
84040ae4-445f-4566-a828-b3fb97d75c69,49df69ab-c266-4d49-951c-031b16f7a31f,clayco oper,,,,,,,,US,,,,,,,Tue Oct 15 2019 17:11:42 GMT+0000 (Coordinated Universal Time),,,
9d1255e6-5c86-477f-ade0-993370f9d810,49df69ab-c266-4d49-951c-031b16f7a31f,Stover Excavating Inc.,,,"7500 Industrial Parkway Plain City, Ohio 43064",,,,,US,(614) 873-5865,,,,,,Thu Feb 25 2016 17:03:33 GMT+0000 (Coordinated Universal Time),1,0,
e45a4340-b230-4e65-8326-633d425384de,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2017-06-29 18:21:13 UTC 293ed923-1ed0-451a-a359-479c16c26658,,,"3400 Jackson Pike, Grove City, OH 43123",,,,,US,(614) 875-8601,,,,,deleted,Thu Feb 25 2016 17:05:37 GMT+0000 (Coordinated Universal Time),0,0,
cbf39fa3-2584-416b-9c6a-c3ebfbb3dee6,49df69ab-c266-4d49-951c-031b16f7a31f,The Superior Group,,,"740 Waterman Ave, Columbus, OH 43215",,,,,US,(614) 488-8025,,,,,,Thu Feb 25 2016 17:07:35 GMT+0000 (Coordinated Universal Time),2,0,
42f507cb-ab92-4217-9e60-419cadea3a43,49df69ab-c266-4d49-951c-031b16f7a31f,Speer Mechanical,,,"5255 Sinclair Rd, Columbus, OH 43229",,,,,US,(614) 261-6331,,,,,,Thu Feb 25 2016 17:08:14 GMT+0000 (Coordinated Universal Time),1,0,
448c6990-fb43-44d0-906f-04fa85811b90,49df69ab-c266-4d49-951c-031b16f7a31f,Newcomer Concrete Services Inc.,,,"Powell, OH",,,,,US,614-792-1105,,,,,,Thu Feb 25 2016 17:15:42 GMT+0000 (Coordinated Universal Time),1,0,
37708b8d-ba4e-496e-8908-812faa43c0b8,49df69ab-c266-4d49-951c-031b16f7a31f,Clayco TAG,,,,,,,,US,,,,,,,Mon Oct 07 2019 13:26:16 GMT+0000 (Coordinated Universal Time),6,9,
656e18c0-6617-4485-8eb3-341e35a7c497,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2018-06-26 16:06:31 UTC 2cc2cd68-6e5a-4838-b2a5-5d51f0995ff6,,,,,,,,US,,,,,,deleted,Tue Feb 23 2016 18:38:58 GMT+0000 (Coordinated Universal Time),1,0,
002d69a6-f96f-414f-b0af-da3d03281cfa,49df69ab-c266-4d49-951c-031b16f7a31f,Forum Studio,,Architect,,,,,,US,,,,,,,Thu Aug 27 2015 02:29:23 GMT+0000 (Coordinated Universal Time),23,1,
e1bc2f91-516b-46b6-8cc0-2980ca27823d,49df69ab-c266-4d49-951c-031b16f7a31f,Silikal,,,,,,,,US,,,,,,,Wed May 24 2017 13:49:06 GMT+0000 (Coordinated Universal Time),1,0,
139a2abe-3820-4b86-ab99-7521da86192c,49df69ab-c266-4d49-951c-031b16f7a31f,Stanley Access Technologies,,,,,,,,US,,,,,,,Mon Mar 18 2019 13:34:46 GMT+0000 (Coordinated Universal Time),1,1,
1fa47be2-99ae-42b1-995d-9f6b72639169,49df69ab-c266-4d49-951c-031b16f7a31f,removed at 2019-09-04 18:25:23 UTC 0bdd129b-b870-4147-b987-5f0fde106316,,,,,,,,US,,,,,,deleted,Mon Jan 07 2019 16:07:16 GMT+0000 (Coordinated Universal Time),,,
e671b7ab-eea6-4b2d-ab29-7c0be5bbd26a,49df69ab-c266-4d49-951c-031b16f7a31f,Republic Refrigeration,Other,Subcontractor,,,,,,US,,,,,,,Thu Aug 27 2015 02:38:42 GMT+0000 (Coordinated Universal Time),2,0,
